"Index","Open","High","Low","Close","Volume"
1970-01-02,54.735,55.285,54.185,55.185,5035
1970-01-03,55.185,55.735,54.855,55.205,5153
1970-01-04,55.285,55.435,54.705,55.005,3805
1970-01-05,54.885,55.235,53.755,53.855,6380
1970-01-06,53.735,53.935,53.155,53.205,4360
1970-01-07,52.985,54.135,52.955,53.605,4532
1970-01-08,53.135,53.255,52.785,52.835,4524
1970-01-09,52.685,52.885,52.305,52.785,3256
1970-01-10,52.885,53.055,52.005,52.055,4348
1970-01-11,51.735,51.985,51.105,51.305,4052
1970-01-12,51.385,51.835,51.335,51.585,2757
1970-01-13,51.405,51.635,50.985,51.485,4100
1970-01-14,51.785,52.235,51.435,51.935,3926
1970-01-15,52.185,52.285,50.435,50.605,4375
1970-01-16,50.385,50.485,49.685,49.955,3443
1970-01-17,50.035,50.035,48.485,48.755,3568
1970-01-18,49.185,49.685,48.835,49.505,3290
1970-01-19,50.485,50.985,49.885,50.785,4154
1970-01-20,50.785,51.205,50.535,50.685,4026
1970-01-21,50.785,50.985,50.055,50.285,3523
1970-01-22,52.185,52.185,51.235,51.635,4651
1970-01-23,51.285,51.335,50.435,50.455,5941
1970-01-24,50.555,51.235,50.555,51.155,4436
1970-01-25,51.535,51.935,51.385,51.855,4131
1970-01-26,52.385,52.685,52.035,52.455,5819
1970-01-27,52.035,52.035,51.385,51.585,5394
1970-01-28,51.685,52.235,51.585,51.885,4420
1970-01-29,53.285,53.335,52.655,53.255,4871
1970-01-30,53.235,53.485,52.585,52.805,5442
1970-01-31,52.485,52.485,51.805,51.935,5674
1970-02-01,51.935,52.355,51.735,52.285,5365
1970-02-02,52.185,52.185,51.455,51.955,4377
1970-02-03,51.685,51.735,50.585,50.785,2642
1970-02-04,50.735,51.135,50.705,51.085,2924
1970-02-05,51.185,51.255,50.505,51.105,3635
1970-02-06,51.285,51.385,50.785,50.855,3596
1970-02-07,50.685,50.835,50.085,50.135,3998
1970-02-08,49.685,49.685,49.005,49.335,3632
1970-02-09,49.585,50.085,49.535,49.905,4090
1970-02-10,49.885,50.185,49.585,49.955,3669
1970-02-11,50.135,50.335,49.835,50.005,2708
1970-02-12,50.185,50.235,49.755,50.205,2534
1970-02-13,50.205,50.385,49.805,49.885,2458
1970-02-14,49.985,50.535,49.935,50.285,3337
1970-02-15,50.235,50.435,50.005,50.405,2166
1970-02-16,50.235,50.235,49.785,49.935,2484
1970-02-17,49.835,50.435,49.735,50.385,2507
1970-02-18,50.135,50.535,50.035,50.185,1695
1970-02-19,50.085,50.085,49.555,49.785,2435
1970-02-20,49.185,49.435,48.885,49.005,3756
1970-02-21,49.435,49.555,49.135,49.455,1898
1970-02-22,49.685,49.785,49.305,49.605,1308
1970-02-23,49.385,49.435,49.135,49.385,1158
1970-02-24,49.485,50.185,49.335,50.005,2739
1970-02-25,50.035,50.285,49.855,49.955,1766
1970-02-26,49.885,51.455,49.835,51.205,3690
1970-02-27,51.085,51.485,50.835,51.355,2139
1970-02-28,51.285,51.585,51.035,51.285,1909
1970-03-01,51.555,52.585,51.555,52.535,2601
1970-03-02,52.585,53.185,52.435,53.105,2767
1970-03-03,52.955,53.355,52.325,53.205,5180
1970-03-04,53.025,53.655,53.025,53.355,4503
1970-03-05,53.855,54.605,53.705,54.505,6180
1970-03-06,53.955,54.775,53.805,54.675,6246
1970-03-07,55.555,56.175,55.555,56.175,4535
1970-03-08,56.675,57.175,56.375,56.555,8129
1970-03-09,56.355,56.705,55.955,56.325,6622
1970-03-10,56.105,57.255,55.905,56.825,6412
1970-03-11,57.105,57.355,56.455,57.055,7664
1970-03-12,57.705,58.325,57.355,57.525,8252
1970-03-13,57.655,57.825,57.205,57.605,4684
1970-03-14,58.355,58.755,57.955,57.975,6624
1970-03-15,57.905,58.555,57.605,58.505,7441
1970-03-16,58.455,58.555,57.355,57.525,6919
1970-03-17,57.155,57.155,56.355,56.875,7484
1970-03-18,56.655,57.255,56.055,57.025,7784
1970-03-19,57.505,57.875,57.275,57.475,5403
1970-03-20,56.705,56.705,55.975,55.975,7448
1970-03-21,55.655,56.175,55.375,55.825,7732
1970-03-22,55.755,56.155,55.175,55.925,8116
1970-03-23,56.055,56.205,55.505,56.025,5149
1970-03-24,56.455,56.525,55.725,55.755,4712
1970-03-25,55.255,55.455,54.605,54.675,8590
1970-03-26,54.805,55.055,54.275,54.355,7428
1970-03-27,54.555,54.755,54.175,54.605,5640
1970-03-28,54.655,55.055,54.655,54.805,4401
1970-03-29,54.355,54.555,53.555,53.605,6975
1970-03-30,53.455,53.755,52.855,53.205,8366
1970-03-31,52.705,52.755,51.755,52.505,8505
1970-04-01,52.555,52.855,52.225,52.725,4525
1970-04-02,51.825,52.205,51.555,51.755,6311
1970-04-03,51.855,52.025,51.505,51.605,3955
1970-04-04,51.305,51.925,51.205,51.325,4996
1970-04-05,51.405,51.405,50.725,51.055,5581
1970-04-06,51.855,51.955,51.505,51.805,4427
1970-04-07,51.555,52.505,51.525,52.475,4974
