"Index","Open","High","Low","Close","Volume"
1970-01-02,1903.75,1917.75,1902.75,1915,39101
1970-01-03,1914.5,1916.25,1910.75,1912,30766
1970-01-04,1913.75,1926.25,1913.75,1920.75,35886
1970-01-05,1922.75,1924.75,1918.25,1918.75,24031
1970-01-06,1918.25,1918.25,1914.75,1916.5,14081
1970-01-07,1916.75,1926.75,1913.75,1926.5,26111
1970-01-08,1923.75,1926.25,1921.25,1924.25,24931
1970-01-09,1923.25,1924.75,1920,1924.5,14941
1970-01-10,1925.75,1929.25,1920.75,1921,25451
1970-01-11,1923.75,1923.75,1917.25,1920.5,22471
1970-01-12,1921.25,1925.75,1921.25,1924,16031
1970-01-13,1922.75,1928.75,1922.75,1923,24561
1970-01-14,1920.75,1921.25,1918.5,1920.5,15281
1970-01-15,1917.75,1918.75,1910.75,1913.5,29311
1970-01-16,1913.75,1916.75,1912.75,1914.75,14851
1970-01-17,1901.75,1902.75,1894.75,1899,30346
1970-01-18,1900.75,1904.75,1898.25,1903.5,29866
1970-01-19,1903.75,1906.75,1900.25,1905.5,22471
1970-01-20,1905.25,1909.75,1904.75,1908,19366
1970-01-21,1909.75,1914.75,1909.25,1914.5,20306
1970-01-22,1917.75,1923.75,1914.25,1923.25,24076
1970-01-23,1925.75,1925.75,1915.75,1916.5,22931
1970-01-24,1914.25,1918.75,1913.5,1915.75,17566
1970-01-25,1915.75,1921.25,1915.25,1918,23621
1970-01-26,1920.75,1921.25,1916.25,1918,12926
1970-01-27,1919.75,1934.25,1919.75,1933.5,37061
1970-01-28,1936.75,1945.75,1933.75,1940,38416
1970-01-29,1947.75,1947.75,1942.75,1947.25,18476
1970-01-30,1955.75,1957.25,1950.75,1956,14151
1970-01-31,1954.75,1955.25,1936.25,1943.25,16561
1970-02-01,1949.75,1950.75,1945.25,1948,11336
1970-02-02,1940.75,1944.75,1937.25,1941.25,13416
1970-02-03,1945.75,1950.25,1944.75,1945,8656
1970-02-04,1946.75,1950.25,1942.75,1949.75,12341
1970-02-05,1950.75,1956.75,1949.75,1955.25,14611
1970-02-06,1953.75,1956.75,1935.25,1935.25,25436
1970-02-07,1952.75,1955.25,1951.75,1955.25,9516
1970-02-08,1954.5,1955.5,1941.5,1946.5,32791
1970-02-09,1941.5,1941.5,1928.5,1933,47251
1970-02-10,1931.5,1936,1931,1933.5,24806
1970-02-11,1931.5,1942.5,1929,1942,31906
1970-02-12,1942.5,1944.5,1938,1940.25,28541
1970-02-13,1935.5,1936,1931.5,1933.25,24201
1970-02-14,1934,1938,1933,1934.75,21181
1970-02-15,1932.5,1933.5,1927.75,1930.5,30826
1970-02-16,1927.5,1929,1921.5,1923,37426
1970-02-17,1923.5,1927.5,1920.5,1925,26786
1970-02-18,1924.5,1927.5,1923.5,1924.25,18366
1970-02-19,1921.5,1924.5,1918.25,1919,24221
1970-02-20,1918.5,1926.5,1918.5,1924.25,21266
1970-02-21,1925.5,1930,1925.5,1928,26071
1970-02-22,1926,1928,1924.5,1926.75,19181
1970-02-23,1928.5,1932.25,1928.5,1930.25,14566
1970-02-24,1929.5,1929.5,1922.5,1923,16091
1970-02-25,1921,1923,1919,1920.25,14586
1970-02-26,1921.75,1924,1911,1911.75,31001
1970-02-27,1911.5,1912.5,1905.75,1907.25,20591
1970-02-28,1903.5,1903.5,1898.25,1900.25,21801
1970-03-01,1901.5,1906.75,1901.5,1905.25,17801
1970-03-02,1905.5,1906,1895.5,1897,20581
1970-03-03,1895.5,1901.5,1894,1901.25,25531
1970-03-04,1903,1903.25,1899,1901,12356
1970-03-05,1898.5,1904.75,1896.5,1903,17271
1970-03-06,1905,1910,1903.5,1907.5,19396
1970-03-07,1905.5,1911,1904,1904.25,16326
1970-03-08,1905.5,1908,1901.5,1906.25,17256
1970-03-09,1905.5,1907.25,1903.75,1905.5,8516
1970-03-10,1897.5,1904.25,1897.5,1902,15621
1970-03-11,1900.5,1900.75,1898,1898.75,11621
1970-03-12,1895.5,1902.5,1895.5,1899.5,14566
1970-03-13,1899,1910.5,1899,1910,16316
1970-03-14,1906.5,1907,1900.75,1905.5,11626
1970-03-15,1904.5,1910,1902.5,1902.75,15376
1970-03-16,1901.5,1902.5,1900,1900.25,10211
1970-03-17,1901,1902,1899.5,1899.5,6696
1970-03-18,1901.5,1902,1888.75,1889.25,21356
